FID	IID	Population
HG00096	HG00096	GBR
HG00097	HG00097	GBR
HG00099	HG00099	GBR
HG00100	HG00100	GBR
HG00101	HG00101	GBR
HG00102	HG00102	GBR
HG00103	HG00103	GBR
HG00105	HG00105	GBR
HG00106	HG00106	GBR
HG00107	HG00107	GBR
HG00108	HG00108	GBR
HG00109	HG00109	GBR
HG00110	HG00110	GBR
HG00111	HG00111	GBR
HG00112	HG00112	GBR
HG00113	HG00113	GBR
HG00114	HG00114	GBR
HG00115	HG00115	GBR
HG00116	HG00116	GBR
HG00117	HG00117	GBR
HG00118	HG00118	GBR
HG00119	HG00119	GBR
HG00120	HG00120	GBR
HG00121	HG00121	GBR
HG00122	HG00122	GBR
HG00123	HG00123	GBR
HG00125	HG00125	GBR
HG00126	HG00126	GBR
HG00127	HG00127	GBR
HG00128	HG00128	GBR
HG00129	HG00129	GBR
HG00130	HG00130	GBR
HG00131	HG00131	GBR
HG00132	HG00132	GBR
HG00133	HG00133	GBR
HG00136	HG00136	GBR
HG00137	HG00137	GBR
HG00138	HG00138	GBR
HG00139	HG00139	GBR
HG00140	HG00140	GBR
HG00141	HG00141	GBR
HG00142	HG00142	GBR
HG00143	HG00143	GBR
HG00145	HG00145	GBR
GBR002	HG00146	GBR
HG00148	HG00148	GBR
HG00149	HG00149	GBR
HG00150	HG00150	GBR
HG00151	HG00151	GBR
HG00154	HG00154	GBR
GBR001	HG00155	GBR
HG00157	HG00157	GBR
GBR003	HG00158	GBR
HG00159	HG00159	GBR
HG00160	HG00160	GBR
HG00171	HG00171	FIN
HG00173	HG00173	FIN
HG00174	HG00174	FIN
HG00176	HG00176	FIN
HG00177	HG00177	FIN
HG00178	HG00178	FIN
HG00179	HG00179	FIN
HG00180	HG00180	FIN
HG00181	HG00181	FIN
HG00182	HG00182	FIN
HG00183	HG00183	FIN
HG00185	HG00185	FIN
HG00186	HG00186	FIN
HG00187	HG00187	FIN
HG00188	HG00188	FIN
HG00189	HG00189	FIN
HG00190	HG00190	FIN
HG00231	HG00231	GBR
HG00232	HG00232	GBR
HG00233	HG00233	GBR
HG00234	HG00234	GBR
HG00235	HG00235	GBR
HG00236	HG00236	GBR
HG00237	HG00237	GBR
HG00238	HG00238	GBR
HG00239	HG00239	GBR
HG00240	HG00240	GBR
HG00242	HG00242	GBR
HG00243	HG00243	GBR
HG00244	HG00244	GBR
HG00245	HG00245	GBR
HG00246	HG00246	GBR
HG00250	HG00250	GBR
HG00251	HG00251	GBR
HG00252	HG00252	GBR
HG00253	HG00253	GBR
HG00254	HG00254	GBR
HG00255	HG00255	GBR
HG00256	HG00256	GBR
HG00257	HG00257	GBR
HG00258	HG00258	GBR
HG00259	HG00259	GBR
HG00260	HG00260	GBR
HG00261	HG00261	GBR
HG00262	HG00262	GBR
HG00263	HG00263	GBR
HG00264	HG00264	GBR
HG00265	HG00265	GBR
HG00266	HG00266	FIN
HG00267	HG00267	FIN
HG00268	HG00268	FIN
HG00269	HG00269	FIN
HG00271	HG00271	FIN
HG00272	HG00272	FIN
HG00273	HG00273	FIN
HG00274	HG00274	FIN
HG00275	HG00275	FIN
HG00276	HG00276	FIN
HG00277	HG00277	FIN
HG00278	HG00278	FIN
HG00280	HG00280	FIN
HG00281	HG00281	FIN
HG00282	HG00282	FIN
HG00284	HG00284	FIN
HG00285	HG00285	FIN
HG00288	HG00288	FIN
HG00290	HG00290	FIN
HG00304	HG00304	FIN
HG00306	HG00306	FIN
HG00308	HG00308	FIN
HG00309	HG00309	FIN
HG00310	HG00310	FIN
HG00311	HG00311	FIN
HG00313	HG00313	FIN
HG00315	HG00315	FIN
HG00318	HG00318	FIN
HG00319	HG00319	FIN
HG00320	HG00320	FIN
HG00321	HG00321	FIN
HG00323	HG00323	FIN
HG00324	HG00324	FIN
HG00325	HG00325	FIN
HG00326	HG00326	FIN
HG00327	HG00327	FIN
HG00328	HG00328	FIN
HG00329	HG00329	FIN
HG00330	HG00330	FIN
HG00331	HG00331	FIN
HG00332	HG00332	FIN
HG00334	HG00334	FIN
HG00335	HG00335	FIN
HG00336	HG00336	FIN
HG00337	HG00337	FIN
HG00338	HG00338	FIN
HG00339	HG00339	FIN
HG00341	HG00341	FIN
HG00342	HG00342	FIN
