position COMBINED_rate.cM.Mb. Genetic_Map.cM.
64 0 64
72 0 72
73 0 73
93 0 93
143 0 143
146 0 146
150 0 150
151 0 151
152 0 152
153 0 153
182 0 182
185 0 185
186 0 186
188 0 188
189 0 189
189 0 189
194 0 194
195 0 195
198 0 198
199 0 199
200 0 200
204 0 204
207 0 207
228 0 228
235 0 235
236 0 236
239 0 239
247 0 247
248 0 248
250 0 250
263 0 263
286 0 286
287 0 287
295 0 295
297 0 297
302 0 302
303 0 303
308 0 308
308 0 308
309 0 309
309 0 309
310 0 310
310 0 310
316 0 316
456 0 456
462 0 462
477 0 477
482 0 482
489 0 489
493 0 493
494 0 494
497 0 497
499 0 499
513 0 513
514 0 514
515 0 515
516 0 516
522 0 522
523 0 523
663 0 663
709 0 709
719 0 719
750 0 750
769 0 769
825 0 825
930 0 930
961 0 961
980 0 980
1018 0 1018
1048 0 1048
1189 0 1189
1243 0 1243
1438 0 1438
1719 0 1719
1736 0 1736
1811 0 1811
1888 0 1888
2092 0 2092
2352 0 2352
2394 0 2394
2416 0 2416
2706 0 2706
2758 0 2758
2789 0 2789
2885 0 2885
3010 0 3010
3027 0 3027
3106 0 3106
3197 0 3197
3316 0 3316
3394 0 3394
3438 0 3438
3480 0 3480
3505 0 3505
3516 0 3516
3552 0 3552
3594 0 3594
3606 0 3606
3666 0 3666
3693 0 3693
3705 0 3705
3741 0 3741
3756 0 3756
3915 0 3915
3918 0 3918
3970 0 3970
4048 0 4048
4071 0 4071
4086 0 4086
4104 0 4104
4164 0 4164
4216 0 4216
4232 0 4232
4248 0 4248
4312 0 4312
4491 0 4491
4529 0 4529
4580 0 4580
4586 0 4586
4646 0 4646
4715 0 4715
4769 0 4769
4824 0 4824
4833 0 4833
4850 0 4850
4883 0 4883
4917 0 4917
5046 0 5046
5108 0 5108
5147 0 5147
5178 0 5178
5231 0 5231
5301 0 5301
5351 0 5351
5360 0 5360
5417 0 5417
5442 0 5442
5460 0 5460
5471 0 5471
5585 0 5585
5601 0 5601
5656 0 5656
5773 0 5773
5913 0 5913
5951 0 5951
5999 0 5999
6026 0 6026
